Mixture,GMP-like,LSPC-Cycle,LSPC-Primed,LSPC-Quiescent,Mono-like,ProMono-like,cDC-like,P-value,Correlation,RMSE,Absolute score (sig.score)
PDX_nach_Coku_DMSO_1,3.510902078,1.045081514,2.351837813,5.623604826,1.05401394,0,4.077074918,0,0.604017784,0.838694498,17.66251509
PDX_nach_Coku_DMSO_2,3.006844642,0.815462805,1.471632502,5.477215582,2.219551807,0,3.288240844,0,0.526152237,0.858312686,16.27894818
PDX_nach_Coku_DMSO_3,2.638559956,0.786485816,0.75171654,7.316613785,1.611930571,0,2.831254345,0,0.601163864,0.831609095,15.93656101
PDX_nach_Coku_DMSO_4,2.843267533,1.255143647,3.349610584,5.871344431,2.636399676,0,3.987523355,0,0.52651824,0.858231982,19.94328923
PDX_nach_Coku_AZA_1,3.606108038,0.686589005,1.588182707,4.971562774,1.019793215,0,2.700031118,0,0.653030941,0.814071176,14.57226686
PDX_nach_Coku_AZA_2,3.403217508,0.764090139,1.835293459,4.339507043,1.677776798,0,2.79994325,0,0.618882102,0.817797477,14.8198282
PDX_nach_Coku_AZA_3,2.256457509,0.763256723,1.816296106,4.303386277,1.780981642,0,2.825621486,0,0.692508236,0.777033703,13.74599974
PDX_nach_Coku_AZA_4,5.204050052,1.469123228,1.15729275,6.558970889,2.707677264,0,3.565435602,0,0.537905957,0.853322432,20.66254978
PDX_nach_Coku_Creno_1,4.566169631,0.413006968,4.124577568,7.77812965,2.51340225,0,9.158495172,0,0.504697751,0.873811058,28.55378124
PDX_nach_Coku_Creno_2,5.180262545,0.009952304,3.990381999,6.869367082,4.847829774,0,3.423092085,0,0.446584351,0.895669207,24.32088579
PDX_nach_Coku_Creno_3,3.819017908,0.68072648,2.705295902,5.674829422,3.476175981,0,4.364129807,0,0.479721709,0.87779341,20.7201755
PDX_nach_Coku_Creno_4,7.983689756,0.109570392,2.538806734,12.38431746,1.313265267,0,5.750188304,0,0.556358666,0.857903757,30.07983791
PDX_nach_Coku_AZA+Creno_1,4.397771168,0,3.231667259,6.314480649,0,0.227906429,3.602505407,0,0.670765167,0.810981477,17.77433091
PDX_nach_Coku_AZA+Creno_2,3.612149032,0.559571239,2.969850361,5.091058346,1.76468036,0,4.817294321,0,0.573274907,0.842952254,18.81460366
PDX_nach_Coku_AZA+Creno_3,3.015670309,0.554361595,3.189919274,4.863982768,2.172867003,0,3.27461554,0,0.626011412,0.809278191,17.07141649
PDX_nach_Coku_AZA+Creno_4,2.764557406,0.33553313,2.307636236,4.503452881,1.743532651,0,2.840067214,0,0.60791773,0.820328891,14.49477952
